****************************************
Report : cell
Design : Register_File
Version: O-2018.06-SP1
Date   : Sun Aug 30 01:20:22 2026
****************************************

Attributes:
    b - black box (unknown)
    c - control logic
    h - hierarchical
    n - noncombinational
    r - removable
    s - synthetic operator
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
Reg_File_reg[3][5]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][6]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][7]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][8]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][9]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][10]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][11]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][12]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][13]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][14]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[3][15]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][0]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][1]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][2]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][3]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][4]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][5]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][6]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][7]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][8]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][9]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][10]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][11]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][12]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][13]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][14]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[4][15]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][0]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][1]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][2]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][3]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][4]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][5]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][6]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][7]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][8]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][9]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][10]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][11]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][12]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][13]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][14]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[5][15]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][0]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][1]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][2]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][3]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][4]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][5]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][6]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][7]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][8]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][9]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][10]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][11]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][12]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][13]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][14]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[6][15]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][0]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][1]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][2]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][3]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][4]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][5]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][6]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][7]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][8]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][9]        **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][10]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][11]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][12]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][13]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][14]       **SEQGEN**                      0.000000  n, u
Reg_File_reg[7][15]       **SEQGEN**                      0.000000  n, u
--------------------------------------------------------------------------------
Total 176 cells                                           0.000000
